model,cv_MAE_mean,cv_MAE_std,cv_RMSE_mean,cv_RMSE_std,cv_R2_mean,cv_R2_std,best_params
GradientBoosting,58.585451156738785,5.465102883652461,109.01375994230969,31.646079623123423,0.3150178014951762,0.10417482434939196,"{'learning_rate': 0.03, 'max_depth': 2, 'n_estimators': 200}"
RandomForest,57.0887036434891,4.3869510078560054,109.6331061414185,27.336254426921407,0.29967848199491903,0.06860260473617201,"{'max_depth': 11, 'min_samples_leaf': 2, 'n_estimators': 200}"
Ridge,61.651956767272246,4.816960193171158,110.23330479257149,30.12800810625191,0.2974913171422468,0.07006052330124383,{'alpha': 10.0}
Lasso,61.68681275405352,4.757327326765143,110.30196099863602,30.039951220543884,0.2964603148924506,0.0691399301384332,{'alpha': 0.1}
LinearRegression,61.817008178709855,4.818792400020075,110.39432724547828,29.904848862335793,0.2950069885463841,0.06788555252134104,{'fit_intercept': True}
KNN,62.38865716839666,4.868238066102418,110.91675858567108,29.48545330395278,0.28733709818602804,0.05946301960618654,"{'n_neighbors': 20, 'weights': 'uniform'}"
Baseline(median),84.7071129707113,0.0,135.39079239987728,0.0,0.0,0.0,{}
